1/2	h ˈɑ f
stealing	s t ˈi l ɪ ŋ
steals	s t ˈi l z
stealthy	s t ɛ l θ ˈi
steam	s t ˈi m
steaming	s t ˈi m ɪ ŋ
steel	s t ˈi l
steels	s t ˈi l z
steep	s t ˈi p
steer	s t ˈɪ ɹ
stein	s t ˈa ɪ n
stem	s t ˈɛ m
stems	s t ˈɛ m z
stench	s t ˈɛ n t͡ʃ
step	s t ˈɛ p
stepped	s t ˈɛ p t
stepping	s t ɛ p ˌi ŋ
steps	s t ˈɛ p s
stern	s t ˈɚ n
steve	s t ˈi v
stew	s t ˈu
stews	s t ˈu z
stick	s t ˈɪ k
stickers	s t ˈɪ k ɚ z
sticking	s t ˈɪ k ɪ ŋ
sticks	s t ˈɪ k s
sticky	s t ˈɪ k i
stifled	s t ˈa ɪ f ə l d
still	s t ˈɪ l
stilt	s t ˈɪ l t
stilts	s t ˈɪ l t s
sting	s t ˈɪ ŋ
stings	s t ˈɪ ŋ z
stink	s t ˈɪ ŋ k
stinking	s t ˈɪ ŋ k ɪ ŋ
stinks	s t ˈɪ ŋ k s
stinky	s t ˈɪ ŋ k i
stir	s t ˈɚ
stitch	s t ˈɪ t͡ʃ
stitches	s t ˈɪ t͡ʃ ɪ z
stock	s t ˈɑ k
stocked	s t ˈɑ k t
stocks	s t ˈɑ k s
stocky	s t ˈɑ k ˈi
stole	s t ˈo ʊ l
stolen	s t ˈo ʊ l ə n
stomach	s t ˈʌ m ə k
stomp	s t ˈɑ m p
stomped	s t ˈɑ m p t
stone	s t ˈo ʊ n
stones	s t ˈo ʊ n z
stood	s t ˈʊ d
stool	s t ˈu l
stop	s t ˈɑ p
stopped	s t ˈɑ p t
stopping	s t ˈɑ p p ɪ ŋ
stops	s t ˈɑ p s
storage	s t ˈɔ ɹ ɪ d͡ʒ
store	s t ˈɔ ɹ
stores	s t ˈɔ ɹ z
stories	s t ˈɔ ɹ i z
storm	s t ˈɔ ɹ m
storms	s t ˈɔ ɹ m z
story	s t ˈɔ ɹ i
stove	s t ˈo ʊ v
stovetop	s t o ʊ v t ˈɑ p
straight	s t ɹ ˈe ɪ t
strain	s t ɹ ˈe ɪ n
strange	s t ɹ ˈe ɪ n d͡ʒ
strangely	s t ɹ ˈe ɪ n d͡ʒ l i
stranger	s t ɹ ˈe ɪ n d͡ʒ ə
strangler	s t ɹ ˈæ ŋ ɡ l ɚ
strap	s t ɹ ˈæ p
strapped	s t ɹ ˈæ p t
straps	s t ɹ ˈæ p s
straw	s t ɹ ˈɔ
strawberry	s t ɹ ˈɔ b ˌɛ ɹ ɹ i
stray	s t ɹ ˈe ɪ
strays	s t ɹ ˈe ɪ z
streak	s t ɹ ˈi k
streaks	s t ɹ ˈi k s
stream	s t ɹ ˈi m
streams	s t ɹ ˈi m z
street	s t ɹ ˈi t
streets	s t ɹ ˈi t s
strength	s t ɹ ˈɛ ŋ θ
strengths	s t ɹ ˈɛ ŋ θ s
stress	s t ɹ ˈɛ s
stressed	s t ɹ ˈɛ s t
stretch	s t ɹ ˈɛ t͡ʃ
stretched	s t ɹ ˈɛ t͡ʃ t
stretcher	s t ɹ ˈɛ t͡ʃ ɚ
stretches	s t ɹ ˈɛ t͡ʃ ɪ z
stretching	s t ɹ ˈɛ t͡ʃ ɪ ŋ
stricken	s t ɹ ˈɪ k ə n
strict	s t ɹ ˈɪ k t
strider	s t ɹ ˈa ɪ d ɚ
striders	s t ɹ ˌa ɪ d ə z
strides	s t ɹ a ɪ d z
strife	s t ɹ a ɪ f
strike	s t ɹ ˈa ɪ k
strikes	s t ɹ ˈa ɪ k s
string	s t ɹ ˈɪ ŋ
stringing	s t ɹ ˈi ŋ ˈi ŋ
strings	s t ɹ ˈɪ ŋ z
strip	s t ɹ ˈɪ p
stripe	s t ɹ ˈa ɪ p
striped	s t ɹ ˈa ɪ p d
stripes	s t ɹ ˈa ɪ p s
stripey	s t ɹ ˈa ɪ p i
strips	s t ɹ ˈɪ p s
stroke	s t ɹ ˈo ʊ k
stroll	s t ɹ ˈo ʊ l
strolled	s t ɹ ˈo ʊ l d
strong	s t ɹ ˈɔ ŋ
stronger	s t ɹ ˈɔ ŋ ɡ ɚ
stronger	s t ɹ ɔ ŋ ɡ ˈɚ
strongest	s t ɹ ˈɔ ŋ ɡ ɪ s t
struck	s t ɹ ˈʌ k
structure	s t ɹ ˈʌ k t͡ʃ ɚ
struggle	s t ɹ ˈʌ ɡ ə l
struggled	s t ɹ ˈʌ ɡ ə l d
struggles	s t ɹ ˈʌ ɡ ə l z
struggling	s t ɹ ˈʌ ɡ l ɪ ŋ
strut	s t ɹ ˈʌ t
struts	s t ɹ ˈʌ t s
stub	s t ˈʌ b
stubborn	s t ˈʌ b ɚ n
stuck	s t ˈʌ k
student	s t ˈu d ə n t
students	s t ˈu d ə n t s
studied	s t ˈʌ d i d
studies	s t ˈʌ d i z
study	s t ˈʌ d i
stuff	s t ˈʌ f
stuffed	s t ˈʌ f t
stumbled	s t ˈʌ m b ə l d
stumbles	s t ʌ m b ə l z
stump	s t ˈʌ m p
stumps	s t ˈʌ m p s
stung	s t ˈʌ ŋ
stunk	s t ˈʌ ŋ k
stunned	s t ˈʌ n d
stunning	s t ˈʌ n ɪ ŋ
stunt	s t ˈʌ n t
stupid	s t ˈu p ɪ d
sturdy	s t ə d i
sty	s t ˈa ɪ
style	s t ˈa ɪ l
styles	s t ˈa ɪ l z
su	s ˈu
subdued	s ʌ b d ˈu d
subject	s ˈʌ b d͡ʒ ɪ k t
subject	s ə b d͡ʒ ˈɛ k t
subjects	s ˈʌ b d͡ʒ ɪ k t s
subjects	s ə b d͡ʒ ˈɛ k t s
subordinate	s ə b ˈɔ ɹ d ə n ˌe ɪ t
subordinate	s ə b ˈɔ ɹ d ə n ɪ t
subordinates	s ə b ˈɔ ɹ d ə n ˌe ɪ t s
subordinates	s ə b ˈɔ ɹ d ə n ɪ t s
subscribe	s ə b s k ɹ ˈa ɪ b
subscribes	s ə b s k ɹ ˈa ɪ b z
subscription	s ə b s k ɹ ˈɪ p ʃ ə n
subscriptions	s ə b s k ɹ ˈɪ p ʃ ə n z
substance	s ˈʌ b s t ə n s
substances	s ˈʌ b s t ə n s ɪ z
substantial	s ʌ b s t ˈæ n ʃ ə l
subtle	s ˈʌ t ə l
success	s ə k s ˈɛ s
successful	s ə k s ˈɛ s f ə l
such	s ˈʌ t͡ʃ
suck	s ˈʌ k
sucked	s ˈʌ k t
sucker	s ˈʌ k ɚ
suckers	s ˈʌ k ɚ z
sucks	s ˈʌ k s
sudden	s ˈʌ d ə n
suddenly	s ˈʌ d ə n l i
suet	s ˈu t
suffer	s ˈʌ f ɚ
suffered	s ˈʌ f ɚ d
sufficient	s ə f ɪ ʃ ə n t
suffixes	s ˈʌ f ɪ k s ɪ z
sugar	ʃ ˈʊ ɡ ɚ
suggest	s ə d͡ʒ ˈɛ s t
suggested	s ə d͡ʒ ˈɛ s t ɪ d
suggests	s ə d͡ʒ ˈɛ s t s
suit	s ˈu t
suitcase	s ˈu t k ˌe ɪ s
suited	s u t ɪ d
suits	s ˈu t s
sulk	s ˈʌ l k
sulks	s ˈʌ l k s
sum	s ˈʌ m
sumatra	s ˈu m ˈɑ t͡ʃ ɹ ˈɑ
sumatran	s ˈu m ˈɑ t͡ʃ ɹ ə n
summer	s ˈʌ m ɚ
summertime	s ˈʌ m ɚ t ˌa ɪ m
sums	s ˈʌ m z
sun	s ˈʌ n
sunbathing	s ˈʌ n b ˌe ɪ ð ɪ ŋ
sunburnt	s ˈʌ n b ɚ n t
sunda	s ˈʌ n d ə
sunflowers	s ʌ n f l a ʊ ə ɹ
sunk	s ˈʌ ŋ k
sunlight	s ˈʌ n l ˈa ɪ t
sunny	s ˈʌ n i
sunrise	s ˈʌ n ɹ ˌa ɪ z
suns	s ˈʌ n z
sunscreen	s ˈʌ n s k ɹ ˌi n
sunset	s ˈʌ n s ˈɛ t
sunsets	s ˈʌ n s ˌɛ t s
super	s ˈu p ɚ
superpower	s ˌu p ɚ p ˈa ʊ ɚ
supper	s ˈʌ p ɚ
supplement	s ˈʌ p p l ə m ə n t
supplement	s ˌʌ p p l ə m ˈɛ n t
supplements	s ˈʌ p p l ə m ˈɛ n t s
supplements	s ˈʌ p p l ə m ə n t s
supplies	s ə p l ˈa ɪ z
supply	s ə p l ˈa ɪ
support	s ə p ˈɔ ɹ t
supports	s ə p ˈɔ ɹ t s
suppose	s ə p ˈo ʊ z
supposed	s ə p ˈo ʊ z d
sure	ʃ ˈʊ ɹ
surely	ʃ ˈʊ ɹ l i
sures	ʃ ˈʊ ɹ z
surface	s ˈɚ f ɪ s
surfacing	s ə ɹ f ə s ˈɪ ŋ
surprise	s ə p ɹ ˈa ɪ z
surprised	s ə p ɹ ˈa ɪ z d
surprises	s ə p ɹ ˈa ɪ z ɪ z
surprising	s ə p ɹ ˈa ɪ z ɪ ŋ
surrendered	s ɚ ˈɛ n d ɚ d
surrounded	s ɚ ɹ ˈa ʊ n d ə d
survey	s ɚ v ˈe ɪ
survival	s ɚ v a ɪ v ə l
survive	s ɚ v ˈa ɪ v
survived	s ɚ v ˈa ɪ v d
sushi	s ˈu ʃ i
susi	s ˈu s i
suspect	s ˈʌ s p ˌɛ k t
suspect	s ə s p ˈɛ k t
suspects	s ˈʌ s p ˌɛ k t s
suspects	s ə s p ˈɛ k t s
suspicious	s ə s p ˈɪ ʃ ə s
susy	s ˈu z i
swallow	s w ˈɑ l o ʊ
swallowed	s w ˈɑ l o ʊ d
swallowing	s w ˈɑ l o ʊ ɪ ŋ
swallows	s w ˈɑ l o ʊ z
swam	s w ˈæ m
swamp	s w ˈɑ m p
swamps	s w ˈɑ m p s
swampy	s w ˈɑ m p ˈi
swan	s w ˈɑ n
swans	s w ˈɑ n z
swap	s w ˈɑ p
swapped	s w ˈɑ p t
swaps	s w ˈɑ p s
swarm	s w ˈɔ ɹ m
swat	s w ˈɑ t
swatters	s w ˈɑ t t ɚ z
sway	s w ˈe ɪ
sways	s w ˈe ɪ z
swears	s w ˈɛ ɹ z
sweep	s w ˈi p
sweeps	s w ˈi p s
sweet	s w ˈi t
sweets	s w ˈi t s
swell	s w ˈɛ l
swells	s w ˈɛ l z
sweltering	s w ˈɛ l t ɚ ɹ ɪ ŋ
swept	s w ˈɛ p t
swift	s w ˈɪ f t
swiftly	s w ˈɪ f t l i
swim	s w ˈɪ m
swimmer	s w ˈɪ m ɚ
swimmers	s w ˈɪ m m ɚ z
swimming	s w ˈɪ m ɪ ŋ
swims	s w ˈɪ m z
swing	s w ˈɪ ŋ
swinging	s w ˈɪ ŋ ɪ ŋ
swings	s w ˈɪ ŋ z
swipe	s w ˈa ɪ p
swipes	s w ˈa ɪ p s
swirl	s w ˈɚ l
swirls	s w ˈɚ l z
swish	s w ˈɪ ʃ
swished	s w ˈɪ ʃ d
switch	s w ˈɪ t͡ʃ
switches	s w ˈɪ t͡ʃ ɪ z
swoop	s w ˈu p
swooped	s w ˈu p t
swooping	s w ˈu p ɪ ŋ
swoops	s w ˈu p s
sword	s ˈɔ ɹ d
swords	s ˈɔ ɹ d s
swordsman	s w ˈɔ ɹ d z m ə n
swore	s w ˈɔ ɹ
swung	s w ˈʌ ŋ
syllable	s ˈɪ l ə b ə l
syllable	s ˈɪ l ə b ə l
syllables	s ˈɪ l ə b ə l z
symbol	s ˈɪ m b ə l
symbols	s ˈɪ m b ə l z
syndicate	s ˈɪ n d ɪ k ɪ t
syndicate	s ˈɪ n d ɪ k ˌe ɪ t
syndicates	s ˈɪ n d ɪ k ˌe ɪ t s
syndicates	s ˈɪ n d ɪ k ɪ t s
system	s ˈɪ s t ə m
systems	s ˈɪ s t ə m z
t	t ˈi
t-h	t ˈi ˈe ɪ t͡ʃ
t-i	t ˈi ˈa ɪ
t-rex	t ˈi ɹ ˈɛ k s
table	t ˈe ɪ b ə l
tables	t ˈe ɪ b ə l z
tablet	t æ b l ɛ t
tack	t ˈæ k
tackle	t ˈæ k ə l
tackled	t ˈæ k ə l d
tackles	t ˈæ k ə l z
tactic	t æ k t ɪ k
tad	t ˈæ d
tads	t ˈæ d z
tag	t ˈæ ɡ
tags	t ˈæ ɡ z
tail	t ˈe ɪ l
tails	t ˈe ɪ l z
take	t ˈe ɪ k
taken	t ˈe ɪ k ə n
takes	t ˈe ɪ k s
taking	t ˈe ɪ k ɪ ŋ
takings	t ˈe ɪ k ɪ ŋ z
tal	t ˈɑ l
tal's	t ˈæ l z
talas	t a l a s
talas	t a l a s
tale	t ˈe ɪ l
talent	t ˈæ l ə n t
talents	t ˈæ l ə n t s
tales	t ˈe ɪ l z
talk	t ˈɔ k
talked	t ˈɔ k t
talking	t ˈɔ k ɪ ŋ
talks	t ˈɔ k s
tall	t ˈɔ l
taller	t ˈɔ l ɚ
tallest	t ˈɔ l ə s t
tallish	t ˈæ l ɪ ʃ
talon	t ˈæ l ə n
talons	t ˈæ l ə n z
tame	t ˈe ɪ m
tamed	t ˈe ɪ m d
tames	t ˈe ɪ m z
taming	t ˈe ɪ m i ŋ
tang	t ˈæ ŋ
tangle	t ˈæ ŋ ɡ ə l
tangled	t ˈæ ŋ ɡ ə l d
tank	t ˈæ ŋ k
tanks	t ˈæ ŋ k s
tap	t ˈæ p
tape	t ˈe ɪ p
tapioca	t ˈe ɪ p i o ʊ k ə
tapped	t ˈæ p t
tapping	t ˈæ p ɪ ŋ
taps	t ˈæ p s
tar	t ˈɑ ɹ
target	t ˈɑ ɹ ɡ ə t
targets	t ɑ ɡ ə t s
task	t ˈæ s k
tasks	t ˈæ s k s
taste	t ˈe ɪ s t
tasted	t ˈe ɪ s t ə d
tastes	t ˈe ɪ s t s
tasting	t ˈe ɪ s t ɪ ŋ
tasty	t ˈe ɪ s t i
taught	t ˈɔ t
taunt	t ˈɔ n t
taunted	t ˈɔ n t ɪ d
tax	t ˈæ k s
taxes	t ˈæ k s ɪ z
taxi	t ˈæ k s i
taxing	t ˈæ k s ɪ ŋ
tea	t ˈi
teach	t ˈi t͡ʃ
teacher	t ˈi t͡ʃ ɚ
teacher's	t ˈi t͡ʃ ɚ z
teachers	t ˈi t͡ʃ ɚ z
teaches	t ˈi t͡ʃ ɪ z
teacup	t ˈi k ˌʌ p
team	t ˈi m
team's	t ˈi m z
teams	t ˈi m z
tear	t ˈɛ ɹ
tearing	t ˈɛ ɹ ɪ ŋ
tears	t ˈɪ ɹ z
tease	t ˈi z
teases	t ˈi z ə z
technician	t ɛ k n ˈɪ ʃ ə n
technician's	t ɛ k n ˈɪ ʃ ə n z
technique	t ɛ k n ˈi k
technology	t ɛ k n ˈɑ l ə d͡ʒ i
ted	t ˈɛ d
ted's	t ˈɛ d z
teddy	t ˈɛ d i
teen	t ˈi n
teens	t ˈi n z
teeth	t ˈi θ
telematics	t ɛ l ə m ˈæ t ɪ k s
television	t ˈɛ l ə v ˌɪ ʒ ə n
tell	t ˈɛ l
telling	t ˈɛ l ɪ ŋ
tells	t ˈɛ l z
ten	t ˈɛ n
tend	t ˈɛ n d
tender	t ˈɛ n d ɚ
tends	t ɛ n d z
tension	t ˈɛ n ʃ ə n
tent	t ˈɛ n t
tenth	t ˈɛ n θ
tents	t ˈɛ n t s
term	t ˈɚ m
termite	t ˈɚ m a ɪ t
terms	t ˈɚ m z
terracotta	t ˈɛ ɹ ʌ k ɑ t ʌ
terrible	t ˈɛ ɹ ɪ b ə l
terribly	t ˈɛ ɹ ɪ b l i
terrier	t ˈɛ ɹ i ɚ
terrific	t ɚ ˈɪ f ɪ k
terrified	t ˈɛ ɹ ɪ f ˈa ɪ d
territory	t ˈɛ ɹ ɪ t ˌɔ ɹ i
terror	t ˈɛ ɹ ɚ
terrorises	t ˈɛ ɹ ɹ ɚ ˌa ɪ z ɪ z
terrorize	t ˈɛ ɹ ɚ ɹ ˌa ɪ z
terrorizes	t ˈɛ ɹ ɹ ɚ ˌa ɪ z ɪ z
test	t ˈɛ s t
tests	t ˈɛ s t s
text	t ˈɛ k s t
than	ð ə n
thank	θ ˈæ ŋ k
thanked	θ ˈæ ŋ k t
thankful	θ ˈæ ŋ k f ə l
thanks	θ ˈæ ŋ k s
thas	ð ˈæ t
that	ð ˈæ t
that's	ð ˈæ t s
thats	ð ˈæ t s
the	ð ə
their	ð ˈɛ ɹ
theirs	ð ˈɛ ɹ z
them	ð ˈɛ m
themes	θ i m z
themselves	ð ə m s ˈɛ l v z
then	ð ˈɛ n
theories	θ ˈi ɚ ɹ i z
theory	θ ˈi ɚ ɹ i
therapod	θ ˈɛ ɹ ə p ə d
there	ð ˈɛ ɹ
there's	ð ˈɛ ɹ z
theropod	θ ˈɛ ɹ ə p ə d
these	ð ˈi z
theses	θ ˈi s i z
they	ð e ɪ
they'd	ð ˈe ɪ d
they're	ð ˈɛ ɹ
theyd	ð ˈe ɪ d
theyre	ð ˈɛ ɹ
thick	θ ˈɪ k
thief	θ ˈi f
thieves	θ ˈi v z
thieving	θ ˈi v ɪ ŋ
thin	θ ˈɪ n
thing	θ ˈɪ ŋ
things	θ ˈɪ ŋ z
think	θ ˈɪ ŋ k
thinking	θ ˈɪ ŋ k ɪ ŋ
thinks	θ ˈɪ ŋ k s
thins	θ ˈɪ n z
third	θ ˈɚ d
thirsty	θ ˈɚ s t i
thirteen	θ ˈɚ t ˈi n
thirteenth	θ ˈɚ t ˈi n θ
this	ð ˈɪ s
thorn	θ ˈɔ ɹ n
thorns	θ ˈɔ ɹ n z
those	ð ˈo ʊ z
though	ð ˈo ʊ
thought	θ ˈɔ t
thoughts	θ ˈɔ t s
thousand	θ ˈa ʊ z ə n d
thousands	θ ˈa ʊ z ə n d z
thrash	θ ɹ ˈæ ʃ
thrashes	θ ɹ ˈæ ʃ ɪ z
thread	θ ɹ ˈɛ d
threat	θ ɹ ˈɛ t
threaten	θ ɹ ˈɛ t ə n
threatened	θ ɹ ˈɛ t ə n d
threats	θ ɹ ˈɛ t s
three	θ ɹ ˈi
threw	θ ɹ ˈu
thrill	θ ɹ ˈɪ l
thrilled	θ ɹ ˈɪ l d
thrilling	θ ɹ ˈɪ l ɪ ŋ
thrive	θ ɹ ˈa ɪ v
thrives	ð ɹ ˌa ɪ v z
thriving	ð ɹ ˈa ɪ v ˌi ŋ
throat	θ ɹ ˈo ʊ t
throng	θ ɹ ˈɔ ŋ
through	θ ɹ ˈu
throuhg	θ ɹ ˈu
throw	θ ɹ ˈo ʊ
throwing	θ ɹ ˈo ʊ ɪ ŋ
thrown	θ ɹ ˈo ʊ n
throws	θ ɹ ˈo ʊ z
thud	θ ˈʌ d
thumb	θ ˈʌ m
thumbs	θ ˈʌ m z
thump	θ ˈʌ m p
thumps	θ ˈʌ m p s
thunder	θ ˈʌ n d ɚ
thunk	θ ˈʌ ŋ k
tick	t ˈɪ k
ticket	t ˈɪ k ɪ t
ticking	t ˈɪ k ˈɪ ŋ
tickle	t ˈɪ k ə l
tickle	t ɪ k ə l
tickly	t ˈɪ k l i
ticks	t ˈɪ k s
tidal	t ˈa ɪ d ə l
tide	t ˈa ɪ d
tidies	t a ɪ d ˌi z
tidy	t ˈa ɪ d i
tie	t ˈa ɪ
tied	t ˈa ɪ d
tiers	t ˈɪ ɹ z
ties	t ˈa ɪ z
tiger	t ˈa ɪ ɡ ɚ
tiger's	t ˈa ɪ ɡ ɚ z
tigers	t ˈa ɪ ɡ ɚ z
tight	t ˈa ɪ t
tightly	t ˈa ɪ t l i
tights	t ˈa ɪ t s
tik	t ɪ k
til	t ˈɪ l
tiles	t ˈa ɪ l z
till	t ˈɪ l
tilt	t ˈɪ l t
tilted	t ˈɪ l t ɪ d
tim	t ˈɪ m
tim's	t ˈɪ m z
time	t ˈa ɪ m
times	t ˈa ɪ m z
timewise	t ˈa ɪ m w ˌa ɪ z
tin	t ˈɪ n
tina	t ˈi n ə
tina's	t ˈi n ə z
ting	t ˈɪ ŋ
tins	t ˈɪ n z
tiny	t ˈa ɪ n i
tip	t ˈɪ p
tip's	t ˌi p s
tipped	t ˈɪ p t
tips	t ˈɪ p s
tiptoe	t ˈɪ p t o ʊ
tire	t ˈa ɪ ɚ
tired	t ˈa ɪ ɚ d
tires	t ˈa ɪ ɚ z
title	t ˈa ɪ t ə l
tnt	t ˈi ə n t ˈi
to	t u
toad	t ˈo ʊ d
toadpocalypse	t ˈo ʊ d p ə k ə l ˈɪ p s
toads	t ˈo ʊ d z
toast	t ˈo ʊ s t
tock	t ˈɑ k
today	t ə d ˈe ɪ
toe	t ˈo ʊ
toes	t ˈo ʊ z
together	t ə ɡ ˈɛ ð ɚ
toil	t ˈɔ ɪ l
toiled	t ˈɔ ɪ l d
toilet	t ˈɔ ɪ l ɪ t
toils	t ˈɔ ɪ l z
token	t ˈo ʊ k ə n
told	t ˈo ʊ l d
tom	t ˈɑ m
tom's	t ˈɑ m z
toman	t ˈo ʊ m ə n
toman's	t o ʊ m ə n z
tomans	t o ʊ m ə n z
tomb	t ˈu m
tomorrow	t ə m ˈɑ ɹ o ʊ
toms	t ˈɑ m z
tone	t ˈo ʊ n
tones	t ˈo ʊ n z
tongue	t ˈʌ ŋ
tongues	t ˈʌ ŋ z
tonight	t ʌ n ˈa ɪ t
too	t ˈu
took	t ˈʊ k
tool	t ˈu l
tools	t ˈu l z
tooth	t ˈu θ
top	t ˈɑ p
topic	t ˈɑ p ɪ k
tops	t ˈɑ p s
torch	t ˈɔ ɹ t͡ʃ
torches	t ˈɔ ɹ t͡ʃ ɪ z
torn	t ˈɔ ɹ n
torture	t ˈɔ ɹ t͡ʃ ɚ
toss	t ˈɔ s
tossed	t ˈɔ s d
tosses	t ˈɔ s ɪ z
total	t ˈo ʊ t ə l
totally	t ˈo ʊ t ə l i
touch	t ˈʌ t͡ʃ
touched	t ˈʌ t͡ʃ t
touches	t ˈʌ t͡ʃ ɪ z
touching	t ˈʌ t͡ʃ ɪ ŋ
tough	t ˈʌ f
tougher	t ʌ f ɚ
tour	t ˈʊ ɹ
tourist	t ˈʊ ɹ ɪ s t
tourists	t ˈʊ ɹ ɹ ɪ s t s
tow	t ˈo ʊ
toward	t ə w ˈɔ ɹ d
towards	t ə w ˈɔ ɹ d z
towel	t ˈa ʊ ə l
towels	t ˈa ʊ ə l z
tower	t ˈa ʊ ɚ
town	t ˈa ʊ n
towns	t ˈa ʊ n z
townsfolk	t ˈa ʊ n z f ˌo ʊ k
township	t ˈa ʊ n ʃ ɪ p
toxic	t ˈɑ k s ɪ k
toxin	t ˈɑ k s ə n
toxins	t ˈɑ k s ə n z
toy	t ˈɔ ɪ
toys	t ˈɔ ɪ z
trace	t ɹ ˈe ɪ s
track	t ɹ ˈæ k
tracked	t ɹ ˈæ k t
tracker	t ɹ ˈæ k ɚ
trackers	t ɹ ˈæ k ɚ z
tracking	t ɹ ˈæ k ɪ ŋ
tracks	t ɹ ˈæ k s
trade	t ɹ ˈe ɪ d
traded	t ɹ ˈe ɪ d ɪ d
trader	t ɹ ˈe ɪ d ɚ
trades	t ɹ ˈe ɪ d z
trading	t ɹ ˈe ɪ d ɪ ŋ
traditionally	t ɹ ə d ˈɪ ʃ ə n ə l i
traffic	t ɹ ˈæ f ɪ k
tragic	t ɹ ˈæ d͡ʒ ɪ k
trail	t ɹ ˈe ɪ l
trailed	t ɹ ˈe ɪ l d
trailing	t ɹ e ɪ l i ŋ
train	t ɹ ˈe ɪ n
trained	t ɹ ˈe ɪ n d
training	t ɹ ˈe ɪ n ɪ ŋ
trains	t ɹ ˈe ɪ n z
traits	t ɹ ˈe ɪ t s
transaction	t ɹ ˌæ n z ˌæ k t t͡ʃ n
transfer	t ɹ ˈæ n s f ɚ
transform	t ɹ æ n s f ˈɔ ɹ m
transformed	t ɹ æ n s f ˈɔ ɹ m d
transforming	t ɹ æ n s f ˈɔ ɹ m ɪ ŋ
transit	t ɹ ˈæ n z ɪ t
transmit	t ɹ æ n z m ˈɪ t
transmits	t ɹ æ n z m ˈɪ t s
transport	t ɹ ˈæ n s p ɔ ɹ t
transported	t ɹ ˈæ n z p ˈo ʊ ɹ t ə d
trap	t ɹ ˈæ p
trapped	t ɹ ˈæ p t
traps	t ɹ ˈæ p s
trash	t ɹ ˈæ ʃ
travel	t ɹ ˈæ v ə l
traveled	t ɹ ˈæ v ə l d
travelers	t ɹ ˈæ v ə l ɚ z
traveling	t ɹ ˈæ v ə l ɪ ŋ
travelled	t ɹ ˈæ v ə l d
travellers	t ɹ ˌæ v ə l ə z
travelling	t ɹ ˈæ v ə l ɪ ŋ
travels	t ɹ ˈæ v ə l z
tray	t ɹ ˈe ɪ
tread	t ɹ ˈɛ d
treads	t ɹ ˈɛ d z
treasure	t ɹ ˈɛ ʒ ɚ
treasures	t ɹ ˈɛ ʒ ɚ z
treasury	t ɹ ˈɛ ʒ ɚ i
treat	t ɹ ˈi t
treated	t ɹ ˈi t ɪ d
treating	t ɹ ˈi t ɪ ŋ
treatment	t ɹ ˈi t m ə n t
treats	t ɹ ˈi t s
tree	t ɹ ˈi
tree's	t ɹ ˈi z
trees	t ɹ ˈi z
treetop	t ɹ ˈi t ˌɔ p
treetops	t ɹ ˈi t ˌɔ p s
trek	t ɹ ˈɛ k
trekked	t ɹ ˈɛ k t
trekking	t ɹ ˈɛ k ɪ ŋ
treks	t ɹ ˈɛ k s
tremendous	t ɹ ɪ m ˈɛ n d ə s
trench	t ɹ ˈɛ n t͡ʃ
trial	t ɹ ˈa ɪ ə l
trials	t ɹ ˈa ɪ ə l z
trick	t ɹ ˈɪ k
tricked	t ɹ ˈɪ k t
trickery	t ɹ ˈɪ k ɚ ɹ i
tricks	t ɹ ˈɪ k s
tricky	t ɹ ˈɪ k i
trident	t ɹ ˈa ɪ d ə n t
tridents	t ɹ ˈa ɪ d ə n t s
tried	t ɹ ˈa ɪ d
tries	t ɹ a ɪ z
triggered	t ɹ ˈɪ ɡ ˈɚ d
trim	t ɹ ˈɪ m
trims	t ɹ ˈɪ m z
trio	t ɹ ˈi o ʊ
trip	t ɹ ˈɪ p
tripping	t ɹ ˈɪ p ɪ ŋ
trips	t ɹ ˈɪ p s
triumph	t ɹ ˈa ɪ ə m f
troll	t ɹ ˈo ʊ l
troll's	t ɹ ˈo ʊ l z
trolls	t ɹ ˈo ʊ l z
troop	t ɹ ˈu p
trophies	t ɹ ˈo ʊ f i z
trophy	t ɹ ˈo ʊ f i
tropical	t ɹ ˈɑ p ɪ k ə l
trot	t ɹ ˈɑ t
trots	t ɹ ˈɑ t s
trotted	t ɹ ɑ t ə d
trouble	t ɹ ˈʌ b ə l
troubles	t ɹ ˈʌ b ə l z
troublesome	t ɹ ˈʌ b ə l s ə m
trough	t ɹ ˈɔ f
trowel	t ɹ ˈa ʊ ə l
truck	t ɹ ˈʌ k
trucks	t ɹ ˈʌ k s
trudge	t ɹ ˈʌ d͡ʒ
trudges	t ɹ ˈʌ d͡ʒ ɪ z
true	t ɹ ˈu
truffle	t ɹ ˈʌ f ə l
truly	t ɹ ˈu l i
trumpet	t ɹ ˈʌ m p ə t
trunk	t ɹ ˈʌ ŋ k
trunks	t ɹ ˈʌ ŋ k s
trust	t ɹ ˈʌ s t
truth	t ɹ ˈu θ
try	t ɹ ˈa ɪ
trying	t ɹ ˈa ɪ ɪ ŋ
tub	t ˈʌ b
tube	t ˈu b
tubes	t j u b z
tubs	t ˈʌ b z
tuck	t ˈʌ k
tucked	t ˈʌ k t
tucks	t ˈʌ k s
tug	t ˈʌ ɡ
tugged	t ʌ ɡ d
tugs	t ˈʌ ɡ z
tum	t ˈʌ m
tumbles	t ˈʌ m b ə l z
tumbling	t ʌ m b ə l ɪ ŋ
tummy	t ˈʌ m i
tune	t ˈu n
tunes	t j u n z
tunnel	t ˈʌ n ə l
tunnels	t ˈʌ n ə l z
